numEmpleado,anio,numeroPeriodo,tipoPeriodo,fechaInicio,fechaFin,netoPagar,percepciones,deducciones,diasLaborados,diasPagados
001,2026,1,semanal,2026-01-01,2026-01-04,2564.41,3184.55,620.14,3,3
001,2026,2,semanal,2026-01-05,2026-01-11,4423.57,5493.3,1069.73,5,7
001,2026,3,semanal,2026-01-12,2026-01-18,4506.73,5596.57,1089.84,5,7
001,2026,4,semanal,2026-01-19,2026-01-25,4282.99,5318.72,1035.73,5,7
001,2026,5,semanal,2026-01-26,2026-02-01,4399.44,5463.34,1063.9,5,7
001,2026,6,semanal,2026-02-02,2026-02-08,4519.28,5612.16,1092.88,5,7
001,2026,7,semanal,2026-02-09,2026-02-15,4295.9,5334.76,1038.86,5,7
001,2026,8,semanal,2026-02-16,2026-02-22,4375.36,5433.43,1058.07,5,7
001,2026,9,semanal,2026-02-23,2026-03-01,4527.85,5622.8,1094.95,5,7
001,2026,10,semanal,2026-03-02,2026-03-08,4312.34,5355.18,1042.84,5,7
001,2026,11,semanal,2026-03-09,2026-03-15,4352.12,5404.57,1052.45,5,7
001,2026,12,semanal,2026-03-16,2026-03-22,4532.13,5628.12,1095.99,5,7
001,2026,13,semanal,2026-03-23,2026-03-29,4331.75,5379.28,1047.53,5,7
001,2026,14,semanal,2026-03-30,2026-04-05,4330.51,5377.74,1047.23,5,7
001,2026,15,semanal,2026-04-06,2026-04-12,4532.01,5627.96,1095.95,5,7
001,2026,16,semanal,2026-04-13,2026-04-19,4353.48,5406.26,1052.78,5,7
001,2026,17,semanal,2026-04-20,2026-04-26,4311.27,5353.84,1042.57,5,7
001,2026,18,semanal,2026-04-27,2026-05-03,4527.45,5622.3,1094.85,5,7
001,2026,19,semanal,2026-05-04,2026-05-10,4376.79,5435.21,1058.42,5,7
001,2026,20,semanal,2026-05-11,2026-05-17,4295.01,5333.66,1038.65,5,7
001,2026,21,semanal,2026-05-18,2026-05-24,4518.64,5611.36,1092.72,5,7
001,2026,22,semanal,2026-05-25,2026-05-31,4400.9,5465.15,1064.25,5,7
001,2026,23,semanal,2026-06-01,2026-06-07,4282.32,5317.9,1035.58,5,7
001,2026,24,semanal,2026-06-08,2026-06-14,4505.85,5595.48,1089.63,5,7
001,2026,25,semanal,2026-06-15,2026-06-20,3540.01,4396.07,856.06,4,5
002,2026,1,semanal,2026-01-01,2026-01-04,2332.67,2607.87,275.2,3,3
002,2026,2,semanal,2026-01-05,2026-01-11,3883.54,4341.71,458.17,5,7
002,2026,3,semanal,2026-01-12,2026-01-18,4065.67,4545.32,479.65,5,7
002,2026,4,semanal,2026-01-19,2026-01-25,3907.42,4368.4,460.98,5,7
002,2026,5,semanal,2026-01-26,2026-02-01,3866.48,4322.64,456.16,5,7
002,2026,6,semanal,2026-02-02,2026-02-08,4061.26,4540.39,479.13,5,7
002,2026,7,semanal,2026-02-09,2026-02-15,3928.42,4391.88,463.46,5,7
002,2026,8,semanal,2026-02-16,2026-02-22,3852.16,4306.63,454.47,5,7
002,2026,9,semanal,2026-02-23,2026-03-01,4053.03,4531.19,478.16,5,7
002,2026,10,semanal,2026-03-02,2026-03-08,3950.07,4416.09,466.02,5,7
002,2026,11,semanal,2026-03-09,2026-03-15,3841.06,4294.22,453.16,5,7
002,2026,12,semanal,2026-03-16,2026-03-22,4041.27,4518.05,476.78,5,7
002,2026,13,semanal,2026-03-23,2026-03-29,3971.67,4440.23,468.56,5,7
002,2026,14,semanal,2026-03-30,2026-04-05,3833.55,4285.82,452.27,5,7
002,2026,15,semanal,2026-04-06,2026-04-12,4026.38,4501.4,475.02,5,7
002,2026,16,semanal,2026-04-13,2026-04-19,3992.45,4463.47,471.02,5,7
002,2026,17,semanal,2026-04-20,2026-04-26,3829.89,4281.73,451.84,5,7
002,2026,18,semanal,2026-04-27,2026-05-03,4008.86,4481.81,472.95,5,7
002,2026,19,semanal,2026-05-04,2026-05-10,4011.76,4485.05,473.29,5,7
002,2026,20,semanal,2026-05-11,2026-05-17,3830.2,4282.08,451.88,5,7
002,2026,21,semanal,2026-05-18,2026-05-24,3989.28,4459.92,470.64,5,7
002,2026,22,semanal,2026-05-25,2026-05-31,4028.9,4504.22,475.32,5,7
002,2026,23,semanal,2026-06-01,2026-06-07,3834.48,4286.86,452.38,5,7
002,2026,24,semanal,2026-06-08,2026-06-14,3968.32,4436.49,468.17,5,7
002,2026,25,semanal,2026-06-15,2026-06-20,3234.66,3616.28,381.62,4,5
007,2026,1,semanal,2026-01-01,2026-01-04,1872.17,2154.68,282.51,3,3
007,2026,2,semanal,2026-01-05,2026-01-11,3214.22,3699.24,485.02,5,7
007,2026,3,semanal,2026-01-12,2026-01-18,3056.88,3518.16,461.28,5,7
007,2026,4,semanal,2026-01-19,2026-01-25,3103.32,3571.61,468.29,5,7
007,2026,5,semanal,2026-01-26,2026-02-01,3219.22,3705,485.78,5,7
007,2026,6,semanal,2026-02-02,2026-02-08,3069.38,3532.54,463.16,5,7
007,2026,7,semanal,2026-02-09,2026-02-15,3087.17,3553.02,465.85,5,7
007,2026,8,semanal,2026-02-16,2026-02-22,3221.15,3707.21,486.06,5,7
007,2026,9,semanal,2026-02-23,2026-03-01,3083.83,3549.17,465.34,5,7
