CLA_PERDED	CLA_EMPRESA	CLA_GPO_EXPERDED	NOM_PERDED	TIPO_PERDED	STATUS	CLASIFICACION	FORMULA	EXENCION	TOPE_EXEN	TOPE	EXEN_IMSS	APLICA	ESBASE_IMSS	ESBASE_NOMINA	ESBASE_INFON	ESBASE_PTU	TRATA_FISCAL	NOM_NOR	NOM_AGUI	NOM_PTU	NOM_FIN	NOM_ESP	NOM_VAC	ALTERNAR	FORMULA_SQL	EXENCION_SQL	TOPE_EXEN_SQL	TOPE_SQL	EXEN_IMSS_SQL	ORDEN	APLICA_TODO_PUE	APLICA_TODA_UBI	APLICA_TODO_PER	IMPRIME_UNIDAD	TEXTO_UNIDAD	PERMITE_NEGATIVOS	PERMITE_CEROS	AVANZADO_WHERE_SQL	ES_EXTERNO	FUENTE_EXTERNA	TRUNCAR	REDONDEO	DECIMALES	NO_IMPRIMIR	NO_AFECTAR_NETO	GRUPO_CAL1	GRUPO_CAL2	GRUPO_CAL3	GRUPO_CAL4	ES_NETO	FECHA_ULT_CAMBIO	LLEVA_HISTO	ESBASE_ISPT	CLA_PERDED_ACUM	ES_BASE_FAHORRO	DETALLAR_PERDED	MOSTRAR_SALDO	LLEVA_ACUM	NOM_CORTO	ESBASE_IMSS_FIJO	DIAS_FIJO	EVA_MASIVA	ES_PROVISION	CLASIF_DEC_SUELDOS	PREVISION_SOCIAL	CLA_GPO_EXCLUSION	TOPE_EXCLUSION	TOPE_EXCLUSION_SQL	EXCLUSION_SQL	EXCLUSION	SALDAR_EN_FIQ	FOR_MONTO	FOR_MONTO_SQL	CALC_ISR_PARCIAL	APLICA_RETROACTIVO	CLA_PERDED_RETROACTIVO	WHERE_SQL_RETRO	FORMULA_SQL_RETRO	TOPE_SQL_RETRO	TIPO_CALC_RETRO	CLA_PERDED_RETRO_NEG	REDONDEO_MONTO	DECIMALES_MONTO	PORC_INCREM_PROMO	NO_APLICAR_PROYECCION	APLICA_SALDO_VALES	CEILING	TIPO_PERDED_FORTIA	TIPO_PERDED_SAT	CONSERVAR_MOV	DEDUCCION_GRAVADA	EN_ESPECIE	CLA_METODO_PAGO	TIPO_HORA_EXTRA_SAT	TIPO_OTRO_PAGO_SAT	ORIGEN_RECURSO_SAT
1	4	0	SALARIO NORMAL                	10	A	0	#SUELDOCIA					I	0	0	0	1	1	1	0	0	1	0	0	0	"dbo.ffn_sueldo_ing_v2 ( t1.cla_empresa  , t1.cla_trab , t1.cla_periodo , t1.num_nomina , t1.fol_auto , t1.fecha_aplica, t1.cla_tab_sue, t1.cla_turno)"					1	0	0	0	1		1	1		0	NULL	0	0	0	0	0	1	0	100	60	0	30/03/2017 21:56	1	1	0	0	1	0	1	DLABS	1	0	1	0	1	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	1	0	0	0	3	NULL	NULL	1
2	4	0	DESCANSO SEMANAL              	10	A	0	#DESC/#DESCSANT					T	0	0	0	1	1	1	0	0	1	1	0	0	"dbo.ffn_descanso_sem(t2.cla_empresa, t2.cla_trab, t2.cla_periodo, t2.num_nomina ) / dbo.fn_dias_descanso(t2.cla_empresa, t2.cla_trab, t2.cla_periodo, t2.num_nomina )"					9	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	30/03/2017 22:01	1	1	0	0	0	0	0	DES S	1	0	1	0	1	0	0	NULL	NULL	NULL	NULL	0	#DESCSANT	"dbo.fn_dias_descanso(t2.cla_empresa, t2.cla_trab, t2.cla_periodo, t2.num_nomina )"	0	0	0				0	0	1	2	0	0	0	0	NULL	1	0	0	0	3	NULL	NULL	1
3	4	0	MEDIA HORA TURNO              	10	A	2	#HORAT					I	1	0	0	0	1	1	0	0	0	0	0	0	"dbo.FFN_R_IMPORTE_HT_IPA (t2.cla_empresa, t2.cla_trab,t1.folio_nom, t1.cla_perded, t1.cla_periodo,t1.num_nomina,t1.cla_tab_sue,t1.niv_tab_sue, t1.cla_turno,t1.fecha_mov)"					8	0	0	0	1	HT	0	0		0	NULL	0	0	0	0	0	0	88	0	0	0	30/03/2017 22:01	1	0	0	0	1	0	0	MHRT 	0	0	1	0	4	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	1	2	0	0	0	0	NULL	1	0	0	0	3	NULL	NULL	1
4	4	0	MEDIA HORA DE ALIMENTOS       	10	A	2	#MHALIM					I	1	0	0	0	1	1	0	0	0	0	0	0	"dbo.FFN_R_IMPORTE_MHA_IPA (t2.cla_empresa, t2.cla_trab,t1.folio_nom, t1.cla_perded, t1.cla_periodo,t1.num_nomina,t1.cla_tab_sue,t1.niv_tab_sue, t1.cla_turno,t1.fecha_mov)"					8	0	0	0	1	HA	1	0	AND T1.CLA_TURNO <> 4	0	NULL	0	0	0	0	0	0	88	0	0	0	30/03/2017 22:03	1	0	0	0	1	0	0	M ALI	0	0	1	0	4	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	1	0	0	0	3	NULL	NULL	1
5	4	0	DOMINGO TRABAJADO OBR         	10	A	19	#SUELDOCIA * 2	#EXENDESC				I	0	1	0	0	1	1	0	0	1	0	0	0	"dbo.ffn_sueldo_ing_v2 ( t1.cla_empresa  , t1.cla_trab , t1.cla_periodo , t1.num_nomina , t1.fol_auto , t1.fecha_aplica, t1.cla_tab_sue, t1.cla_turno)*2"	"dbo.spf_ExenDesc(t2.CLA_EMPRESA, t2.CLA_TRAB, t2.NUM_NOMINA, t2.FOLIO_NOM, t1.CLA_PERDED, t1.FOL_AUTO, t2.CLA_PERIODO, t1.FECHA_APLICA, 5.0)"				5	0	0	0	0		0	0		0	NULL	0	0	0	0	0	5	88	6	20	0	31/03/2017 18:58	1	1	0	0	1	0	0	DOTRA	0	0	1	0	4	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	1	0	0	0	3	NULL	NULL	1
6	4	0	PRIMA DOMINICAL OBR           	10	A	1	(#SUELDOCIA * 2) * (.125)	IMP_MOV * #EXDOMIN				I	0	1	0	0	1	1	0	0	0	0	0	0	"(dbo.ffn_sueldo_ing_v2 ( t1.cla_empresa  , t1.cla_trab , t1.cla_periodo , t1.num_nomina , t1.fol_auto , t1.fecha_aplica, t1.cla_tab_sue, t1.cla_turno)*2)*(.125)"	"t1.EVA_FOR_SQL*dbo.ffn_EXEPRIMA (t2.cla_empresa, t2.cla_trab, t2.cla_periodo, t2.num_nomina ,t2.uma)"				6	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	88	7	0	0	31/03/2017 18:30	1	1	0	0	1	0	0	PDOM 	0	0	1	0	6	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	20	0	0	0	3	NULL	NULL	1
7	4	0	SABADO TRABAJADO              	10	A	19	#SUELDOCIA*2	#EXENDESC				I	0	1	0	0	1	1	0	0	1	0	0	0	"dbo.ffn_sueldo_ing_v2 ( t1.cla_empresa  , t1.cla_trab , t1.cla_periodo , t1.num_nomina , t1.fol_auto , t1.fecha_aplica, t1.cla_tab_sue, t1.cla_turno)*2"	"dbo.spf_ExenDesc(t2.CLA_EMPRESA, t2.CLA_TRAB, t2.NUM_NOMINA, t2.FOLIO_NOM, t1.CLA_PERDED, t1.FOL_AUTO, t2.CLA_PERIODO, t1.FECHA_APLICA, 5.0)"				4	0	0	0	1	Dias	0	0		0	NULL	0	0	0	0	0	123	88	100	0	0	22/11/2013 12:57	1	1	0	0	1	0	0	SATRA	0	0	1	0	4	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	16	0	NULL	NULL	NULL	NULL	NULL	NULL
8	4	0	PRIMA SABATINA OB             	10	A	19	#SUELDOCIA * (.40)	#EXENDESC				I	0	1	0	0	1	1	0	0	1	0	0	0	"dbo.ffn_sueldo_ing_v2 ( t1.cla_empresa  , t1.cla_trab , t1.cla_periodo , t1.num_nomina , t1.fol_auto , t1.fecha_aplica, t1.cla_tab_sue, t1.cla_turno)*(.40)"	"dbo.spf_ExenDesc(t2.CLA_EMPRESA, t2.CLA_TRAB, t2.NUM_NOMINA, t2.FOLIO_NOM, t1.CLA_PERDED, t1.FOL_AUTO, t2.CLA_PERIODO, t1.FECHA_APLICA, 5.0)"				5	0	0	0	1	40%	0	0		0	NULL	0	0	0	0	0	0	88	100	0	0	22/11/2013 13:05	1	1	0	0	1	0	0	PSAB 	0	0	1	0	6	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	16	0	NULL	NULL	NULL	NULL	NULL	NULL
9	4	0	EMBARQUE DE AZUCAR REPARACION 	10	A	0	1					I	1	0	0	0	1	1	0	0	0	0	0	0	1					3	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	31/03/2017 18:13	1	1	0	0	0	0	0	EM AR	0	0	1	0	1	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	38	NULL	0	0	3	NULL	NULL	1
10	4	0	ESTIMULO                      	10	A	0	1					I	1	0	0	0	1	1	0	0	0	0	0	0	1					10	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	31/03/2017 18:14	1	1	0	0	0	0	0	e    	0	0	1	0	28	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	38	NULL	0	0	3	NULL	NULL	1
11	4	0	COMISION SINDICAL             	10	A	0	1					I	1	0	0	1	1	1	0	0	0	0	0	0	1					8	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	31/03/2017 18:31	1	1	0	0	0	0	0	COM  	0	0	1	0	1	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	1	0	0	0	3	NULL	NULL	1
12	4	0	TURNO ADICIONAL               	10	A	2	@C5058	#EXENDESC				T	0	0	0	0	1	1	0	0	0	0	0	0	@C5058	"dbo.spf_ExenDesc(t2.CLA_EMPRESA, t2.CLA_TRAB, t2.NUM_NOMINA, t2.FOLIO_NOM, t1.CLA_PERDED, t1.FOL_AUTO, t2.CLA_PERIODO, t1.FECHA_APLICA, 5.0)"				4	0	0	0	0		0	0		0	NULL	0	0	0	0	0	123	88	0	0	0	31/03/2017 18:59	1	1	0	0	0	0	0	T ADI	0	0	1	0	4	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	1	0	0	0	3	NULL	NULL	1
13	4	0	ART 98 C. LEY                 	10	A	0	@C1013 + @C1014					T	1	0	0	0	1	1	0	0	0	0	0	0	@C1013+@C1014					7	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	31/03/2017 18:19	1	1	0	0	1	0	0	ART98	0	0	1	0	28	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	38	0	0	0	3	NULL	NULL	1
15	4	0	RETROACTIVO UNICO EXT.        	10	A	0	1					I	0	0	0	0	1	1	0	0	0	0	0	0	1					15	0	0	0	0		0	0		0	NULL	0	0	0	0	0	0	0	0	0	0	23/11/2013 11:44	1	0	0	0	0	0	0	r    	0	0	1	0	1	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
16	4	0	PREMIO POR ASISTENCIA         	10	A	1	#PAGPRE					I	0	1	0	0	1	1	0	0	0	0	0	0	"dbo.ffn_recupera_val_premio (t2.cla_empresa, t2.cla_trab,t2.cla_periodo, t2.num_nomina,t1.cla_turno,t1.cla_tab_sue,t1.niv_tab_sue)"					1	0	0	0	1	DIAS	1	0		0	NULL	0	0	0	0	0	0	0	100	0	0	31/03/2017 18:32	1	1	0	0	1	0	0	PASIS	0	0	1	0	14	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	10	0	0	0	3	NULL	NULL	1
17	4	0	PREMIO POR PUNTUALIDAD        	10	A	1	#PAGPRE					I	0	1	0	0	1	1	0	0	0	0	0	0	"dbo.ffn_recupera_val_premio (t2.cla_empresa, t2.cla_trab,t2.cla_periodo, t2.num_nomina,t1.cla_turno,t1.cla_tab_sue,t1.niv_tab_sue)"					1	0	0	0	1	DIAS	1	0		0	NULL	0	0	0	0	0	0	0	100	0	0	31/03/2017 18:32	1	1	0	0	1	0	0	PPUNT	0	0	1	0	14	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	10	0	0	0	3	NULL	NULL	1
18	4	0	FESTIVO LEY                   	10	A	0	@C5018 + @C6018					T	0	1	0	1	1	1	0	0	0	0	0	0	@C5018+@C6018					7	0	0	0	1	Dias	1	0		0	NULL	0	0	0	0	0	0	0	0	0	0	30/03/2017 22:03	1	1	0	0	1	0	1	FTRAB	1	0	1	0	1	0	0	NULL	NULL	NULL	NULL	0			0	0	0				0	0	0	0	0	0	0	0	NULL	1	0	0	0	3	NULL	NULL	1
